tempo_s,posicao_x_px,posicao_y_px
0.0,1648,880
0.033324978887682474,1640,882
0.06664995777536495,1627,885
0.09997493666304741,1607,889
0.1332999155507299,1581,894
0.16662489443841236,1550,899
0.19994987332609482,1514,905
0.2332748522137773,1474,910
0.2665998311014598,1430,914
0.2999248099891422,1384,918
0.3332497888768247,1336,920
0.3665747677645072,1287,921
0.39989974665218964,1238,920
0.4332247255398721,1190,917
0.4665497044275546,1143,914
0.4998746833152371,1099,909
0.5331996622029196,1059,904
0.566524641090602,1022,898
0.5998496199782845,990,892
0.6331745988659669,962,887
0.6664995777536494,941,882
0.6998245566413319,924,879
0.7331495355290144,914,877
0.7664745144166969,909,876
0.7997994933043793,911,876
0.8331244721920618,918,878
0.8664494510797442,931,879
0.8997744299674267,950,883
0.9330994088551092,974,888
0.9664243877427917,1004,894
0.9997493666304742,1038,900
1.0330743455181566,1076,905
1.0663993244058392,1118,910
1.0997243032935216,1164,914
1.133049282181204,1210,917
1.1663742610688865,1258,919
1.199699239956569,1307,919
1.2330242188442515,1355,917
1.2663491977319339,1402,914
1.2996741766196165,1447,911
1.3329991555072989,1488,906
1.3663241343949812,1526,901
1.3996491132826638,1560,896
1.4329740921703462,1589,891
1.4662990710580288,1612,887
1.4996240499457112,1629,884
1.5329490288333938,1640,881
1.5662740077210762,1646,881
1.5995989866087585,1644,881
1.6329239654964411,1636,883
1.6662489443841235,1622,886
1.6995739232718061,1601,890
1.7328989021594885,1575,895
1.766223881047171,1544,900
1.7995488599348535,1507,905
1.8328738388225359,1467,910
1.8661988177102184,1423,914
1.8995237965979008,1376,918
1.9328487754855834,1328,919
1.9661737543732658,1279,920
1.9994987332609484,1231,919
2.032823712148631,1183,917
2.066148691036313,1137,913
2.0994736699239955,1093,909
2.1327986488116784,1054,904
2.1661236276993607,1018,898
2.199448606587043,986,893
2.2327735854747255,961,887
2.266098564362408,940,882
2.2994235432500907,924,879
2.332748522137773,914,878
2.3660735010254554,911,877
2.399398479913138,913,877
2.4327234588008206,921,879
2.466048437688503,935,882
2.4993734165761854,954,885
2.5326983954638678,979,890
2.56602337435155,1009,895
2.599348353239233,1044,901
2.6326733321269153,1083,906
2.6659983110145977,1124,911
2.69932328990228,1169,915
2.7326482687899625,1217,918
2.7659732476776453,1265,919
2.7992982265653277,1313,919
2.83262320545301,1361,917
2.8659481843406924,1407,914
2.8992731632283752,1452,911
2.9325981421160576,1493,906
2.96592312100374,1530,901
2.9992480998914224,1563,896
3.0325730787791048,1591,891
3.0658980576667876,1613,887
3.09922303655447,1630,884
3.1325480154421523,1640,882
3.1658729943298347,1644,881
3.199197973217517,1642,882
3.2325229521052,1633,883
3.2658479309928823,1618,887
3.2991729098805647,1597,891
3.332497888768247,1570,896
3.36582286765593,1538,901
3.3991478465436122,1501,907
3.4324728254312946,1460,911
3.465797804318977,1416,915
3.4991227832066594,1370,918
3.532447762094342,1322,920
3.5657727409820246,1273,920
3.599097719869707,1225,919
3.6324226987573893,1178,917
3.6657476776450717,1132,913
3.6990726565327545,1090,909
3.732397635420437,1051,904
3.7657226143081193,1016,898
3.7990475931958017,986,892
3.8323725720834845,960,887
3.865697550971167,940,882
3.8990225298588492,925,879
3.9323475087465316,916,878
3.965672487634214,913,877
3.998997466521897,916,879
4.032322445409579,925,881
4.065647424297262,939,884
4.098972403184944,959,886
4.132297382072626,984,893
4.165622360960309,1014,898
4.198947339847991,1049,902
4.232272318735674,1088,907
4.265597297623357,1131,911
4.298922276511039,1176,915
4.3322472553987215,1223,918
4.365572234286404,1271,918
4.398897213174086,1319,918
4.432222192061769,1366,917
4.465547170949451,1412,914
4.498872149837133,1455,910
4.532197128724816,1495,905
4.565522107612499,1532,901
4.598847086500181,1564,896
4.632172065387864,1591,891
4.665497044275546,1612,887
4.6988220231632285,1628,884
4.732147002050911,1638,882
4.765471980938593,1641,882
4.798796959826276,1638,882
4.832121938713958,1628,885
4.865446917601641,1612,888
4.898771896489324,1590,892
4.932096875377006,1563,897
4.965421854264688,1531,902
4.998746833152371,1494,907
5.032071812040053,1453,912
5.0653967909277355,1409,916
5.098721769815418,1363,918
5.1320467487031,1315,920
5.165371727590784,1267,920
5.198696706478466,1219,919
5.232021685366148,1173,916
5.265346664253831,1128,912
5.298671643141513,1087,907
5.331996622029195,1049,902
5.365321600916878,1014,897
5.39864657980456,985,891
5.431971558692243,960,886
5.465296537579925,941,882
5.498621516467608,927,880
5.531946495355291,919,879
5.565271474242973,917,879
5.598596453130655,920,880
5.631921432018338,929,881
5.66524641090602,944,882
5.6985713897937025,965,887
5.731896368681385,991,892
5.765221347569067,1022,897
5.7985463264567505,1057,903
5.831871305344433,1096,908
5.865196284232115,1138,912
5.898521263119798,1183,916
5.93184624200748,1230,918
5.965171220895162,1277,919
5.998496199782845,1325,918
6.031821178670527,1372,917
6.0651461575582095,1417,914
6.098471136445892,1460,910
6.131796115333575,1499,905
6.1651210942212575,1535,901
6.19844607310894,1566,896
6.231771051996622,1592,891
6.265096030884305,1612,887
6.298421009771987,1627,885
6.331745988659669,1636,882
6.365070967547352,1638,882
6.398395946435034,1634,883
6.431720925322717,1623,885
6.4650459042104,1607,889
6.498370883098082,1585,893
6.531695861985765,1557,898
6.565020840873447,1524,903
6.598345819761129,1487,908
6.631670798648812,1446,912
6.664995777536494,1402,916
6.6983207564241765,1356,918
6.73164573531186,1308,920
6.764970714199542,1260,920
6.7982956930872245,1213,918
6.831620671974907,1167,915
6.864945650862589,1123,912
6.898270629750272,1082,907
6.931595608637954,1044,902
6.964920587525636,1011,896
6.998245566413319,983,891
7.031570545301001,959,886
7.064895524188684,940,883
7.098220503076367,927,881
7.131545481964049,921,879
7.1648704608517315,919,879
7.198195439739414,923,880
7.231520418627096,933,882
7.264845397514779,949,885
7.298170376402461,970,888
7.331495355290143,996,893
7.364820334177827,1028,898
7.398145313065509,1063,903
7.431470291953191,1102,909
7.464795270840874,1145,913
7.498120249728556,1190,916
7.5314452286162386,1236,918
7.564770207503921,1283,919
7.598095186391603,1331,918
7.631420165279286,1377,917
7.664745144166969,1422,914
7.698070123054651,1464,910
7.731395101942334,1503,905
7.764720080830016,1538,900
7.7980450597176985,1568,896
7.831370038605381,1593,891
7.864695017493063,1613,887
7.898019996380746,1627,884
7.931344975268428,1634,883
7.96466995415611,1636,883
7.997994933043794,1631,884
8.031319911931476,1620,886
8.064644890819158,1602,890
8.09796986970684,1579,894
8.131294848594523,1551,899
8.164619827482205,1518,904
8.197944806369888,1480,909
8.23126978525757,1439,913
8.264594764145253,1395,916
8.297919743032935,1349,919
8.331244721920617,1302,920
8.3645697008083,1254,920
8.397894679695982,1207,918
8.431219658583665,1162,915
8.464544637471349,1118,911
8.497869616359031,1078,907
8.531194595246713,1042,901
8.564519574134396,1009,896
8.597844553022078,981,891
8.63116953190976,958,886
8.664494510797443,941,882
8.697819489685125,929,880
8.731144468572808,922,880
8.76446944746049,922,880
8.797794426348172,927,881
8.831119405235855,937,883
8.864444384123537,954,884
8.89776936301122,975,889
8.931094341898902,1002,894
8.964419320786584,1033,899
8.997744299674267,1069,905
9.031069278561949,1109,909
9.064394257449631,1151,913
9.097719236337316,1196,916
9.131044215224998,1242,918
9.16436919411268,1290,919
9.197694173000363,1336,918
9.231019151888045,1382,916
9.264344130775727,1426,913
9.29766910966341,1468,909
9.330994088551092,1506,905
9.364319067438775,1540,900
9.397644046326457,1569,895
9.43096902521414,1593,891
9.464294004101822,1612,888
9.497618982989504,1625,885
9.530943961877187,1632,884
9.564268940764869,1633,884
9.597593919652551,1627,884
9.630918898540234,1615,887
9.664243877427916,1597,891
9.6975688563156,1573,895
9.730893835203283,1544,900
9.764218814090965,1511,905
9.797543792978647,1473,910
9.83086877186633,1432,914
9.864193750754012,1388,917
9.897518729641694,1342,919
9.930843708529377,1295,920
9.96416868741706,1248,919
9.997493666304742,1202,918
10.030818645192424,1157,915
10.064143624080106,1114,911
10.097468602967789,1075,906
